signal_date,apply_date,risk_on,assets,weights,gears
2000-01-31,2000-02-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-02-29,2000-03-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-03-31,2000-04-03,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-04-28,2000-05-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-05-31,2000-06-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-06-30,2000-07-03,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-07-31,2000-08-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-08-31,2000-09-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-09-29,2000-10-02,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-10-31,2000-11-01,True,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-11-30,2000-12-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2000-12-29,2001-01-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2001-01-31,2001-02-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2001-02-28,2001-03-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2001-03-30,2001-04-02,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2001-04-30,2001-05-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2001-05-31,2001-06-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2001-06-29,2001-07-02,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2001-07-31,2001-08-01,False,['BIL'],{'BIL': 1.0},{'BIL': '1x'}
2001-08-31,2001-09-03,True,"['SOXL', 'GLD']","{'SOXL': 0.5, 'GLD': 0.5}","{'SOXL': '1x', 'GLD': '1x'}"
2001-09-28,2001-10-01,True,"['TQQQ', 'SOXL']","{'TQQQ': 0.5, 'SOXL': 0.5}","{'TQQQ': '1x', 'SOXL': '1x'}"
2001-10-31,2001-11-01,True,"['GLD', 'TQQQ']","{'GLD': 0.5, 'TQQQ': 0.5}","{'GLD': '1x', 'TQQQ': '1x'}"
2001-11-30,2001-12-03,True,"['IWM', 'TQQQ']","{'IWM': 0.5, 'TQQQ': 0.5}","{'IWM': '3x', 'TQQQ': '1x'}"
